hour,day,act,dirty,clean,vault,vaultCap,heat,heatTarget,exposure,control,yield,rep,influence,frontUtil,cleanEarned,dirtyEarned,stock,gold
0,1,1,90,440,30,40,20,0,0,8,0,0,1,0,0,0,30,10
1,1,1,63,1.350,0,62.200,16,32.088,3.780,8,24.880,47,1,0,31.350,0,30,10
2,1,1,69,1.350,24.880,62.148,22.218,32.088,3.780,8,24.859,48.200,1,0,31.350,30.880,30,10
3,1,1,69,1.350,49.739,62.096,24.192,32.088,3.780,8,24.839,48.200,1,0,31.350,55.739,30,10
4,1,1,66.096,8.225,12.419,62.045,24.877,32.088,3.780,8,24.818,48.200,1,0.083,38.225,80.516,30,10
5,1,1,66.096,21.975,37.237,61.993,34.369,32.088,3.780,8,24.797,48.200,1,0.236,51.975,105.333,30,10
6,1,1,66.089,5.725,0,64.480,32.913,33.665,4.060,8,25.792,51.200,1,0.363,65.725,130.089,30,10
7,1,1,66.089,19.475,25.792,64.426,33.063,33.665,4.060,8,25.771,51.200,1,0.470,79.475,155.881,30,10
8,1,1,66.089,33.225,51.563,64.372,37.684,33.665,4.060,8,25.749,53.200,2,0.558,93.225,181.652,30,10
9,1,1,67.461,46.975,12.874,64.318,36.880,33.665,4.060,8,25.727,53.200,2,0.632,106.975,207.336,30,10
10,1,1,67.461,60.725,38.602,64.264,36.237,33.665,4.060,8,25.706,53.200,2,0.693,120.725,233.063,30,10
11,1,1,66.726,22.550,0,54.579,41.760,34.723,4.255,8,21.832,58.200,3,0.721,132.550,258.726,30,11
12,1,1,66.726,39.737,21.832,54.533,40.352,36.966,4.692,8,21.813,58.200,3,0.767,149.738,280.557,30,11
13,1,1,66.726,50.050,43.645,64.103,41.925,35.640,4.430,8,25.641,59.400,4,0.739,160.050,302.370,30,11
14,1,1,84.191,8.644,12.821,54.441,41.386,22.481,4.060,14,21.777,66.400,0.063,0.700,168.644,343.011,30,13
15,1,1,84.191,25.831,34.597,63.995,37.605,24.428,4.525,14,25.598,66.400,0.188,0.750,185.831,364.788,30,13
16,1,1,91.386,29.750,0,63.941,38.043,22.481,4.060,14,25.576,68.600,1.313,0.663,189.750,390.386,30,13
17,1,1,24.719,46.938,25.576,63.887,44.577,23.234,4.237,14,25.555,69.800,1.438,0.719,206.938,427.962,30,13
18,1,1,24.719,58.900,51.131,54.258,40.308,23.083,4.202,14,21.703,69.800,1.563,0.715,218.900,453.517,30,13
19,1,1,24.719,58.900,54.258,63.779,36.863,22.481,4.060,14,25.512,69.800,1.688,0.596,218.900,456.644,30,13
20,1,1,24.719,58.900,63.779,63.725,33.987,22.481,4.060,14,25.490,69.800,1.813,0.497,218.900,466.164,30,13
21,1,1,24.719,58.900,63.779,63.671,31.686,22.481,4.060,14,25.468,69.800,1.938,0.414,218.900,466.164,30,13
22,1,1,24.719,58.900,63.779,63.617,29.845,22.481,4.060,14,25.447,69.800,2.063,0.345,218.900,466.164,30,13
23,1,1,24.719,58.900,63.779,63.563,28.372,22.481,4.060,14,25.425,69.800,2.188,0.287,218.900,466.164,30,13
24,2,1,24.719,58.900,63.779,63.509,27.194,22.481,4.060,14,25.404,69.800,2.313,0.239,218.900,466.164,30,13
25,2,1,91.498,16.900,0,73.598,27.251,27.509,5.313,14,29.439,74.000,2.438,0.200,218.900,466.164,30,13
26,2,1,101.498,17.450,29.439,73.535,35.242,27.509,5.313,14,29.414,76.000,2.563,0.172,219.450,505.604,29.882,13
27,2,1,101.498,17.450,58.853,73.473,33.695,27.509,5.313,14,29.389,76.000,2.688,0.143,219.450,535.018,29.765,13
28,2,1,103.971,26.044,14.695,73.410,34.771,27.509,5.313,14,29.364,79.200,2.813,0.203,228.044,573.332,29.648,13
29,2,1,103.971,43.231,44.059,73.348,33.319,27.509,5.313,14,29.339,79.200,2.938,0.335,245.231,602.696,29.530,13
30,2,1,95.318,18.419,0,80.750,35.182,31.925,6.566,14,32.300,85.400,4.063,0.446,262.419,631.985,29.413,13
31,2,1,104.318,35.606,32.300,80.681,35.799,31.925,6.566,14,32.273,86.600,4.188,0.539,279.606,673.285,29.179,13
32,2,1,104.318,52.794,64.573,80.612,37.274,31.925,6.566,14,32.245,87.800,5.313,0.615,296.794,705.558,28.945,13
33,2,1,99.931,19.981,17.243,86.140,38.827,33.399,7.021,14,34.456,92.800,5.438,0.680,313.981,738.840,28.633,13
34,2,1,99.931,37.169,51.699,86.066,37.741,34.363,7.329,14,34.427,92.800,5.563,0.733,331.169,773.296,28.244,13
35,2,1,103.997,14.356,0,85.993,35.078,35.622,7.747,14,34.397,98.000,6.688,0.777,348.356,807.664,27.855,13
36,2,1,121.997,32.481,34.397,92.472,38.833,35.510,8.094,14.700,36.989,120.400,6.813,0.815,366.481,860.061,27.466,14
37,2,1,121.997,50.606,71.386,92.393,38.169,36.320,8.384,14.700,36.957,120.400,6.938,0.845,384.606,897.049,27.078,14
38,2,1,117.861,9.731,19.683,98.332,36.962,39.111,9.442,14.700,39.333,127.500,7.063,0.871,402.731,947.211,26.620,14
39,2,1,123.861,27.856,59.016,83.510,40.075,39.614,9.643,14.700,33.404,128.700,7.188,0.893,420.856,992.544,26.093,14
40,2,1,110.371,45.981,0,98.163,37.983,40.027,9.811,14.700,39.265,128.700,7.313,0.911,438.981,1017.038,25.566,14
41,2,1,10,64.106,0,83.366,46.331,40.367,9.951,14.700,33.347,130.700,7.438,0.925,457.106,1066.303,24.740,14
42,2,1,10,82.231,33.347,83.294,45.138,40.647,10.067,14.700,33.318,130.700,7.563,0.938,475.231,1099.649,23.514,14
43,2,1,10,100.356,66.664,83.223,44.240,40.879,10.164,14.700,33.289,130.700,7.688,0.948,493.356,1132.967,22.288,14
44,2,1,10,118.481,83.223,83.151,43.568,41.071,10.245,14.700,33.260,130.700,7.813,0.957,511.481,1149.525,21.063,14
45,2,1,10,122.179,83.223,83.079,43.068,38.154,9.069,14.700,33.232,130.700,7.938,0.831,515.179,1149.525,19.839,14
46,2,1,10,122.179,83.223,83.007,42.086,34.774,7.837,14.700,33.203,130.700,8.063,0.693,515.179,1149.525,18.615,14
47,2,1,10,122.179,83.223,82.935,40.623,34.774,7.837,14.700,33.174,130.700,8.188,0.577,515.179,1149.525,17.391,14
48,3,1,10,122.179,83.223,91.897,39.453,34.774,7.837,14.700,36.759,130.700,8.313,0.481,515.179,1149.525,16.168,14
49,3,1,81.897,2.179,0,121.813,35.518,39.098,9.437,14.700,48.725,142.700,8.438,0.401,515.179,1158.200,15.075,14
50,3,2,90.897,2.179,48.725,267.747,37.503,39.098,9.437,14.700,48.681,143.900,8.563,0.334,515.179,1215.925,14.762,20
51,3,2,90.897,2.179,97.406,267.506,37.822,39.098,9.437,14.700,48.637,143.900,8.688,0.278,515.179,1264.606,14.450,20
